id,team,player,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
0,,BKN,23,18,31,33,105,,,,,,,,,
0,,BOS,32,35,34,20,121,,,,,,,,,
0,,K. GarnettPF,23,5-8,0-0,0-0,0,6,6,3,0,0,4,2,-11,10
0,,J. JohnsonSF,34,7-19,2-5,3-5,2,4,6,3,1,0,2,4,-30,19
0,,M. PlumleeC,11,2-2,0-0,0-0,1,3,4,0,0,2,2,4,-6,4
0,,D. WilliamsPG,39,6-16,0-3,7-7,0,3,3,8,2,1,4,1,-16,19
0,,B. BogdanovicSG,26,3-6,1-2,0-0,0,0,0,2,0,1,2,3,-8,7
0,starters,J. GreenSF,36,4-10,2-3,7-9,2,4,6,3,2,0,0,5,+15,17
0,starters,J. SullingerC,28,5-9,1-3,2-3,0,4,4,2,0,2,1,2,+11,13
0,starters,K. OlynykC,29,8-14,1-2,2-2,4,2,6,2,1,0,1,4,+5,19
0,starters,R. RondoPG,30,6-9,1-3,0-4,0,7,7,12,1,1,3,1,+13,13
0,starters,A. BradleyPG,30,7-13,1-3,0-0,0,0,0,0,0,0,1,5,-4,15
0,starters,B. BassPF,16,4-7,0-1,0-0,1,1,2,1,2,0,3,0,+3,8
0,starters,M. ThorntonSF,14,4-6,1-2,1-1,0,0,0,0,0,1,0,2,-1,10
0,starters,T. ZellerC,6,3-4,0-0,0-0,0,1,1,1,0,0,0,1,+4,6
0,starters,M. SmartPG,28,3-7,1-4,3-3,1,1,2,2,4,0,0,2,+20,10
0,starters,E. TurnerSG,24,5-9,0-1,0-1,1,6,7,5,1,1,3,3,+14,10
0,starters,G. WallaceSF,,,,,,,,,,,,,,
0,starters,P. PresseyPG,,,,,,,,,,,,,,
0,starters,J. YoungSG,,,,,,,,,,,,,,
0,starters,TEAM,,49-88,8-22,15-23,9,26,35,28,11,5,12,25,,121
0,starters, ,,55.7%,36.4%,65.2%,,,,,,,,,,
1,,BOS,22,16,24,28,90,,,,,,,,,
1,,HOU,37,20,24,23,104,,,,,,,,,
1,,J. GreenSF,31,7-19,1-7,2-2,0,4,4,2,0,0,1,2,-22,17
1,,J. SullingerC,27,6-15,0-3,2-3,6,3,9,2,1,3,1,5,-15,14
1,,K. OlynykC,16,3-6,0-2,2-2,1,4,5,0,3,1,1,4,-6,8
1,,R. RondoPG,34,2-9,0-1,0-0,3,7,10,8,3,0,5,3,-18,4
1,,A. BradleyPG,27,3-11,0-4,0-0,0,2,2,1,0,0,0,5,-18,6
1,starters,T. JonesPF,30,10-16,2-4,3-3,4,6,10,0,0,2,2,4,+17,25
1,starters,T. ArizaSF,30,4-9,1-3,0-0,1,7,8,1,0,0,1,4,+26,9
1,starters,D. HowardC,33,5-9,0-0,4-10,0,8,8,4,0,2,0,5,+13,14
1,starters,I. CanaanPG,35,3-11,3-9,0-2,2,2,4,2,2,0,2,1,+4,9
1,starters,J. HardenSG,31,5-14,2-6,14-14,0,8,8,6,4,1,3,1,+18,26
1,starters,D. MotiejunasPF,20,1-4,0-2,4-6,1,4,5,2,0,0,0,3,-3,6
1,starters,J. DorseyPF,4,0-1,0-0,0-0,0,0,0,0,0,0,0,1,-9,0
1,starters,K. PapanikolaouSF,23,1-4,1-3,0-0,1,1,2,4,2,0,6,1,+10,3
1,starters,T. BlackC,4,0-0,0-0,2-4,1,1,2,0,0,1,1,2,+2,2
1,starters,N. JohnsonSG,4,0-1,0-0,0-0,0,1,1,0,0,0,0,1,-9,0
1,starters,J. TerrySG,23,2-5,2-5,1-1,0,1,1,1,1,2,1,1,+10,7
1,starters,T. DanielsSG,4,1-2,1-2,0-0,0,0,0,0,0,0,1,0,-9,3
1,starters,F. GarciaSG,,,,,,,,,,,,,,
1,starters,TEAM,,32-76,12-34,28-40,10,39,49,20,9,8,17,24,,104
1,starters, ,,42.1%,35.3%,70.0%,,,,,,,,,,
2,,BOS,19,22,38,34,113,,,,,,,,,
2,,DAL,40,27,24,27,118,,,,,,,,,
2,,J. GreenSF,39,14-28,5-12,2-3,4,3,7,2,1,2,1,2,+8,35
2,,J. SullingerC,32,6-15,0-2,2-2,7,0,7,4,0,2,1,2,+4,14
2,,K. OlynykC,22,2-4,1-3,0-0,2,2,4,2,1,0,3,5,+13,5
2,,R. RondoPG,37,3-11,0-1,1-2,3,6,9,15,2,0,5,4,-3,7
2,,A. BradleyPG,37,13-22,4-6,2-3,2,6,8,1,3,0,3,2,+3,32
2,starters,D. NowitzkiPF,30,9-14,4-4,5-6,1,6,7,4,0,0,1,3,-2,27
2,starters,C. ParsonsSF,35,10-15,4-5,5-7,0,3,3,2,2,0,0,1,+2,29
2,starters,T. ChandlerC,30,5-7,0-0,0-0,4,8,12,0,0,4,5,2,-7,10
2,starters,J. NelsonPG,23,2-7,2-6,0-0,0,2,2,2,0,0,5,3,-1,6
2,starters,M. EllisSG,35,6-15,0-0,2-2,0,0,0,6,0,2,3,1,+0,14
2,starters,B. WrightPF,18,2-2,0-0,2-3,1,5,6,0,1,2,0,2,+12,6
2,starters,J. CrowderSF,3,0-0,0-0,0-0,0,0,0,1,0,0,0,1,-3,0
2,starters,A. AminuSF,10,2-3,1-2,0-0,0,1,1,0,0,1,0,1,+11,5
2,starters,R. JeffersonSF,15,1-5,0-1,0-0,1,2,3,0,0,0,1,1,-5,2
2,starters,J.J. BareaPG,13,3-5,1-1,0-0,0,0,0,3,1,0,1,2,+5,7
2,starters,D. HarrisPG,30,4-9,2-6,2-2,0,2,2,6,1,0,1,0,+13,12
2,starters,G. SmithPF,,,,,,,,,,,,,,
2,starters,C. VillanuevaPF,,,,,,,,,,,,,,
2,starters,TEAM,,44-82,14-25,16-20,7,29,36,24,5,9,17,17,,118
2,starters, ,,53.7%,56.0%,80.0%,,,,,,,,,,
